,group,subgroup
0,ВОГ,ВОГ
1,НКО,ОООИВА
2,ВОИ,Местная организация ВОИ
5,НКО,НКО
10,ВОИ,ВОИ
16,Центры реабилитации,Центры реабилитации
17,Образовательные учреждения,Детский дом
18,Центры социального обслуживания,Центры социального обслуживания
25,Дома престарелых,Дома престарелых
29,Центры социального обслуживания,Приюты
31,Образовательные учреждения,Коррекционные школы
35,Детский дом,Детский дом
51,Больницы,Больницы
52,Спорт,Спортивные секции для лиц с ОВЗ
57,Больницы,Дом ребенка
59,Образовательные учреждения,Школа-интернат
60,Специальные объекты культуры,Филармония
61,Специальные объекты культуры,Библиотека
80,Образовательные учреждения,Центр сопровождения
88,Образовательные учреждения,Училище
90,Образовательные учреждения,Техникум
91,Образовательные учреждения,Лицей
93,Образовательные учреждения,Колледж
98,Специальные места работы людей с инвалидностью,Специальные места работы людей с инвалидностью
108,Ресурсные центры,Прокат средств реабилитации
115,Спорт,НКО
116,Специальные объекты культуры,Клубы
117,Специальные места работы людей с инвалидностью,ВОС
120,Ресурсные центры,Пункты выдачи книг для инвалидов по зрению
130,Центры реабилитации,Медицинские центры
137,ВОС,ВОС
138,Специальные объекты культуры,Кружки
184,Образовательные учреждения,ВУЗы
