,group,subgroup
0,больницы,больницы
44,вог,региональные отделения вог
46,вои,региональные отделения вои
47,вои,местные отделения вои
60,вос,региональные отделения вос
61,вос,местные отделения вос
75,вос,центры реабилитации
76,дома престарелых,дома престарелых
80,нко,ассоциация
81,нко,центры реабилитации
82,нко,мастерские
83,нко,"районные советы спб ро союз ""чернобыль"" россии"
90,нко,благотворительный фонд
91,нко,нко
93,образовательные учреждения,школы-интернаты
97,образовательные учреждения,коррекционные школы
98,образовательные учреждения,вузы
102,образовательные учреждения,детский сад компенсирующего вида
107,образовательные учреждения,профессиональные образовательные учреждения
147,образовательные учреждения,центр обучения
161,ресурсные центры,пункты выдачи и пункты проката технических средств реабилитации
165,специальные места работы людей с инвалидностью,мастерские
166,специальные места работы людей с инвалидностью,нко
168,специальные места работы людей с инвалидностью,специальные места работы людей с инвалидностью
175,специальные объекты культуры для инвалидов,театр
176,спорт,спортиные секции для лиц с овз
177,спорт,спортивные мероприятия
179,спорт,спортивные секции
180,спорт,спортивные секции для лиц с овз
189,спорт,нко
193,спорт,клубы
194,спорт,спорт
195,центр социального обслуживания,центр социального обслуживания
211,центры реабилитации,центры реабилитации
227,центры социального обслуживания,центры социального обслуживания
232,центры социального обслуживания,интернат
279,специальные объекты культуры для инвалидов,библиотеки
292,специальные объекты культуры для инвалидов,отель
306,бюро медико-социальной экспертизы,главное отделение
307,бюро медико-социальной экспертизы,филиал
