f_pois,s_pois,reg_score,priority,office_id,score
159|160|343|344|162|163|455|461|477|115|270|269|370|397,159|160|343|344|162|163|455|461|477|115|270|269|370|397,8829.1931806894372,1,1207,12564.193180689437
75|28|382|435|445|446|156|444|243,75|28|382|435|445|446|156|444|243,8597.2202315991453,2,2488,12197.220231599145
131|366|367|407|464|10|221,131|366|367|407|464|10|221,9857.197761693591,3,2778,11252.197761693591
199|475,199|475,10348.964909106273,4,691,11113.964909106273
66|97|260|261|96|432|434|476,66|97|260|261|96|432|434|476,8278.8105803795952,5,295,11068.810580379595
271|272|69|466,271|272|69|466,9679.2370100021617,6,53,10849.237010002162
132|105|106|478|479|108|107,132|105|106|478|479|108|107|133,7853.9476016339158,7,1706,10473.947601633916
65|61|76|57|347|348|349|350|217|218|219|214|213|9|428,65|61|76|57|347|348|349|350|217|218|219|214|213|9|428|418,8164.2035887375778,8,1426,10394.203588737579
448,448,9668.7606040792234,9,2081,10388.760604079223
161|6|380|482,161|6|380|482,9390.1921712339536,10,722,10380.192171233954
95|258|259|45,95|258|259|45,9368.2323522808601,11,2793,10358.23235228086
,,10348.964909106273,12,692,10348.964909106273
,,10348.964909106273,13,693,10348.964909106273
,,10348.964909106273,14,694,10348.964909106273
,,10348.964909106273,15,695,10348.964909106273
,,10348.964909106273,16,696,10348.964909106273
,,10348.964909106273,17,697,10348.964909106273
,,10348.964909106273,18,698,10348.964909106273
,,10348.964909106273,19,699,10348.964909106273
,,10348.964909106273,20,700,10348.964909106273
425|314|313|73|274|273|212,425|314|313|73|274|273|212,8585.6103920461592,21,2132,10250.610392046159
485,485,9455.1865628992491,22,2002,10175.186562899249
35|245|342|341|487|488|196|195,248|35|245|342|341|487|488|196|195,7360.8437647127639,23,1190,10170.843764712765
280|242|279|459,280|242|279|459,8715.1204496511073,24,1488,10155.120449651107
178|177|277|278|2|368|237|157,178|177|277|278|2|368|237|157,8572.3774621853809,25,1002,10147.377462185381
308|307|174|181|182|27|383|388|414,308|307|174|181|182|27|383|388|414,8920.0907134961071,26,1020,10135.090713496107
,,10037.788176964285,27,1733,10037.788176964285
433,433,9128.4806219580259,28,2636,9848.4806219580259
38|282|281|100|128,38|282|281|100|128,9126.3854854822348,29,2817,9756.3854854822348
183|184|439,183|184|439,8467.1745647676235,30,4,9727.1745647676235
317|318|436,317|318|436,8630.2217785408357,31,1851,9710.2217785408357
,,9679.2370100021617,32,1664,9679.2370100021617
,,9679.2370100021617,33,1665,9679.2370100021617
,,9679.2370100021617,34,1666,9679.2370100021617
,,9679.2370100021617,35,1667,9679.2370100021617
,,9679.2370100021617,36,1668,9679.2370100021617
,,9679.2370100021617,37,1669,9679.2370100021617
,,9679.2370100021617,38,1670,9679.2370100021617
,,9679.2370100021617,39,1671,9679.2370100021617
,,9668.7606040792234,40,2185,9668.7606040792234
483|484,483|484,8189.4397717631127,41,2809,9629.4397717631127
,,9578.269822975768,42,1855,9578.269822975768
25|120|437|438,25|120|437|438,7946.3270139231736,43,1144,9566.3270139231736
14,14,9404.8638964477941,44,382,9494.8638964477941
486,486,8766.4786419206957,45,2078,9486.4786419206957
456,456,8749.3868051273694,46,1433,9469.3868051273694
,,9455.1865628992491,47,2003,9455.1865628992491
,,9455.1865628992491,48,2004,9455.1865628992491
,,9455.1865628992491,49,2068,9455.1865628992491
,,9455.1865628992491,50,2069,9455.1865628992491
,,9453.8543949374143,51,2635,9453.8543949374143
,,9450.5253209677612,52,1960,9450.5253209677612
64|353|354,64|353|354,9267.1786368765497,53,17,9447.1786368765497
135|324|323|12|169|170,135|324|323|12|169|170,8365.2796707573525,54,2283,9445.2796707573525
