f_pois,s_pois,reg_score,priority,office_id,score
159|160|370|115|269|270|455|343|344|163|162|461|397|477,159|160|370|115|269|270|455|343|344|163|162|461|397|477,466.56559137105921,1,2875,4201.5655913710589
444|435|75|446|28|382|445|243,444|435|75|446|28|382|445|243,333.49942073932397,2,3110,3843.4994207393238
96|97|260|261|434|432|66|476,96|97|260|261|434|432|66|476,412.28288558609523,3,3001,3202.2828855860953
245|195|196|341|342|35|487|488|248,245|195|196|341|342|35|487|488,369.26899862742636,4,3124,3139.2689986274263
105|106|132|478|479|107|108,105|106|132|478|479|107|108,295.84946855954007,5,3076,2815.8494685595401
65|61|76|152|274|273|212|349|350|426,65|61|76|152|274|273|212|349|350|426,361.17273241112548,6,2845,2656.1727324111253
300|299|385|345|346|63|330|329|480,300|299|385|345|346|63|330|329|480,376.54749551002055,7,2935,2041.5474955100206
228|141|239|393|421|460,228|141|239|393|421|460,330.61677196886694,8,2974,1950.6167719688669
437|438|120,437|438|120,393.24607674194351,9,3166,1923.2460767419434
319|275|276|320|74|394|441,319|275|276|320|74|394|441,315.44867111075104,10,2937,1890.4486711107511
459|242|280|279,459|242|280|279,428.1481554868721,11,3125,1868.1481554868722
69|271|272|410|411|422|423|466,69|271|272|410|411|422|423|466,406.03036399190376,12,2848,1756.0303639919039
221|367|366|131|407|464,221|367|366|131|407|464,442.40363037163786,13,3088,1747.403630371638
184|183|439|144,184|183|439,372.64881785414332,14,2993,1712.6488178541433
182|181|388|383|414|27|308|307|174,182|181|388|383|414|27|308|307|174,456.14394096152313,15,2927,1671.1439409615232
73|314|313|425,73|314|313|425,445.15803900031159,16,2920,1615.1580390003116
418|428|214|213|217|219|218|9,418|428|214|213|217|219|218|9,392.77287862437078,17,2967,1562.7728786243708
156|94|436|317|318,156|94|436|317|318,351.46602239608922,18,2922,1521.4660223960891
194|5|187|490,194|5|187|490,409.77841246625951,19,2842,1489.7784124662594
56|233|453,56|233|453,382.33180973809203,20,2904,1462.331809738092
172|33|395|491,172|33|395|491,376.93321034388964,21,3122,1411.9332103438896
6|161|380|482,6|161|380|482,417.6546490698687,22,3108,1407.6546490698688
240|29|481,240|481,270.66394545070108,23,2856,1390.663945450701
287|288|440,287|288|440,235.00882364993913,24,2915,1315.0088236499391
136|429,136|429,386.49579058926673,25,2985,1286.4957905892668
55|472,55|472,413.6521121408951,26,2934,1223.652112140895
449|1,449|1,381.08173557625514,27,3050,1191.0817355762551
485,485,466.50811752190623,28,2938,1186.5081175219061
442|215,442|215,411.88025505261771,29,3090,1176.8802550526177
199|475,199|475,408.03420956332764,30,2984,1173.0342095633277
483,483,440.23143984934939,31,2918,1160.2314398493495
458,458,426.965031255653,32,3026,1146.965031255653
467,467,426.54792595139475,33,3112,1146.5479259513947
101|452,101|452,334.01901762476928,34,3040,1144.0190176247693
468,468,415.87180093331654,35,3084,1135.8718009333165
24|430,24|430,321.90290632025767,36,2891,1131.9029063202577
448,448,403.30570819466652,37,2862,1123.3057081946665
93|396|473,93|396|473,355.45148815818379,38,2959,1120.4514881581838
443,443,396.53872287889214,39,3126,1116.5387228788923
486,486,395.50421871763456,40,3054,1115.5042187176346
465,465,390.09374809905887,41,3042,1110.0937480990588
122|454,122|454,286.35507768070147,42,2968,1096.3550776807015
474,474,352.06428475478077,43,2855,1072.0642847547808
427,427,349.14961582012529,44,2859,1069.1496158201253
469,469,340.59084152571296,45,3027,1060.5908415257129
433,433,322.97190631047943,46,3158,1042.9719063104794
471,471,308.93714608736803,47,2858,1028.9371460873681
229|220|70,229|220|70,392.06890219334645,48,3034,1022.0689021933465
58|431,58|431,207.21992440128537,49,2949,1017.2199244012854
40|134|189|188,40|134|189|188,385.30676935766928,50,2846,1015.3067693576693
178|177|368|2,178|177|368|2,334.17765242158964,51,2970,1009.1776524215896
456,456,278.02217416384235,52,2965,998.02217416384235
281|282|38|100,281|282|38|100,451.55887156406766,53,2936,991.55887156406766
205|203|293|294,205|203|293|294,352.18557418849673,54,2896,982.18557418849673
241|197|378|389,241|197|378|389,291.38281705142953,55,3015,921.38281705142958
143|19|253|252,143|19|253|252,279.2441761105348,56,2925,909.2441761105348
149|302|301,149|302|301,348.58398332412105,57,3077,888.58398332412105
135|296|295,135|296|295,341.41075398194744,58,2885,881.41075398194744
12|190|323|324,12|190|323|324,332.9074695058523,59,2868,872.9074695058523
204|321|322,204|321|322,356.25878002461883,60,3117,851.25878002461877
179|180,179|180,303.40941509386653,61,3065,843.40941509386653
48|297|298,48|297|298,384.78678458099773,62,3072,834.78678458099773
315|316|462,,321.10211479900954,63,2861,801.10211479900954
124|289|290,124|289|290,323.76144480641631,64,2910,773.76144480641631
386|403|285|286,386|403|285|286,321.06478743926084,65,3151,771.06478743926084
244,244,372.32323739079641,66,2864,732.32323739079641
231|391|404,231|391|404,359.22949275451606,67,3103,719.22949275451606
236,236,354.099774667335,68,2877,714.09977466733494
15|17|95,15|17|95,428.63726572115769,69,2971,698.63726572115775
249,249,329.90156407609936,70,3133,689.90156407609936
291|292,291|292,328.73944208914548,71,3083,688.73944208914554
246|412,246|412,257.35655361690044,72,3004,662.35655361690044
64|353|354,64|353|354,457.89315559694182,73,2996,637.89315559694182
171,171,453.92022986716989,74,2998,633.92022986716984
193|374,193|374,358.32716670170271,75,2870,628.32716670170271
83|84,83|84,261.3295065349115,76,2886,621.3295065349115
216|39,216|39,420.79702854148564,77,3008,600.79702854148559
,248,387.80006202755277,78,2982,587.80006202755271
59|68,59|68,399.35126141463775,79,2941,579.35126141463775
87|201,87|201,255.17377800006466,80,3064,570.17377800006466
4|49,4|49,385.18078673950833,81,3005,565.18078673950833
130|335,130|335,378.02838606481839,82,3131,558.02838606481839
,315|316,356.49128344595113,83,2912,556.49128344595113
210|211,210|211,365.25544677064761,84,3021,545.25544677064761
57|347|348,57|347|348,363.95283390565504,85,3038,543.9528339056551
44|62|88,44|62|88,358.81312468074617,86,3130,538.81312468074611
369,369,436.60764000040581,87,2887,526.60764000040581
424,424,433.14949290958543,88,3000,523.14949290958543
121|21,121|21,338.46305125800296,89,3069,518.46305125800291
137,137,334.06038220046509,90,2987,514.06038220046503
10|90,10|90,412.32058508255108,91,2924,502.32058508255108
20,20,399.86869131651326,92,3157,489.86869131651326
114,114,398.64176645519296,93,3097,488.64176645519296
402,402,442.1052442567136,94,2977,487.1052442567136
14,14,391.8116219928516,95,3059,481.8116219928516
405,405,431.638865445421,96,2988,476.638865445421
365,365,426.72791017056892,97,3060,471.72791017056892
377,377,377.93767665023353,98,2972,467.93767665023353
,,464.77998165332326,99,2897,464.77998165332326
,,462.56281753691025,100,3141,462.56281753691025
392,392,414.05200881992846,101,2963,459.05200881992846
384,384,412.66430716763296,102,3147,457.66430716763296
,,455.13305246839684,103,3120,455.13305246839684
333,333,365.08510030412464,104,3043,455.08510030412464
,,448.33222029163875,105,3009,448.33222029163875
,,447.06941753082174,106,3128,447.06941753082174
,,445.94217157517022,107,3033,445.94217157517022
113,113,355.51399118980589,108,2955,445.51399118980589
,,445.06842253960161,109,2909,445.06842253960161
,,440.51391154522616,110,2999,440.51391154522616
,,439.94675294288459,111,3167,439.94675294288459
,,439.50588934236237,112,3047,439.50588934236237
,,438.53484592590837,113,2976,438.53484592590837
,,437.96903492327488,114,2914,437.96903492327488
,,432.40978523440742,115,3135,432.40978523440742
72,72,342.06789221041618,116,3028,432.06789221041618
,,431.81311426968722,117,2989,431.81311426968722
,,431.60222973267247,118,2981,431.60222973267247
42,42|53,290.83687865370484,119,3153,430.83687865370484
,,430.16704845695023,120,2889,430.16704845695023
,,429.51393953797862,121,2847,429.51393953797862
,,429.51393953797862,122,2947,429.51393953797862
,,429.38108126125258,123,2854,429.38108126125258
,,428.63974466309742,124,2954,428.63974466309742
,,427.01101920346741,125,3074,427.01101920346741
,,426.78345900737907,126,3020,426.78345900737907
373,373,336.60710205071632,127,2853,426.60710205071632
,,425.00456922738363,128,2903,425.00456922738363
