f_pois,s_pois,reg_score,priority,office_id,score
508|837|943|31|4693|4717|4501|4904|4869|4900|4830|4695|4761|4716|4875|4738|4776|4956|4954|4502|4903|4743|4694|5254|4874|4902|4873|4901|4876|4737|4955|4692|6364|6372|7050|8673|8672|8667|8767|9080|9552|10352|10363|10643,508|837|943|4693|4717|4501|4904|4869|4900|4830|4875|4738|4776|4956|4954|4502|4903|4743|4694|5254|4874|8673|8672|8667|10363|10643,316.10000000000002,1,2060,3319.0999999999999
82|78|84|787|6722|74|743|857|926|86|974|6700|6697|7343|6699|6723|7342|6698|6724|6721|6725|8748|8750|8751|9616|9189|11063|11064|11061,78|787|6722|743|857|926|6699|6723|7342|6698|6724|6721|6725|11063|11064|11061,135.09999999999999,2,2267,3198.0999999999999
784|879|907|924|753|1861|1866|1875|1185|1273|1772|1756|1199|2296|2344|8128|9391|9390|10048|10133|10132,784|879|907|924|1861|1866|1875|2296|2344|8128|9391|9390|10048|10133|10132,110.65000000000001,3,2086,3105.6500000000001
650|962|887|892|651|1255|8475|8473|8474|8465|8464|7788|8466|8467|8489|10692|10663|10667|10666|10662|10657|10658|10661|10664|10665|10660|10659,650|962|887|892|1255|8465|8467|10663|10667|10666|10662|10657|10658|10661|10664|10665|10660|10659,207.15000000000001,4,2030,2823.1500000000001
613|723|933|396|616|618|746|1633|623|1923|1933|2050|1647|1635|1648|1464|1483|1634|1826|2039|2040|1649|2459|2461|2429|2460|8356|8397|10043|10621,613|933|396|616|618|1633|1933|2050|1647|1648|1634|2459|2461|8356|8397|10043|10621,261.19999999999999,5,2161,2709.1999999999998
973|975|7184|7223|7213|7232|7236|7241|7237|7218|7221|7185|7247|7271|7277|7299|7300|7302|7306|7309|7214|7235|7227|7248|7771|9764|9763,973|975|7223|7213|7232|7236|7241|7237|7218|7221|7185|7247|7271|7277|7299|7300|7302|7306|7309|7235|7227|7771,266.55000000000001,6,2085,2706.5500000000002
621|669|951|952|670|10182|10183|10184|10185|10186|10190|10191|10192|10188|10189,621|669|951|952|670|10182|10183|10184|10185|10186|10190|10191|10192|10188,82.650000000000006,7,875,2667.6500000000001
855|947|8311|8320|8315|8480|8481|8483|8484|8486|8511|8616|8746|8747|8615|8758|8319|8612|8757|9195|9455|9456|9201|10602,855|947|8320|8315|8480|8481|8483|8484|8486|8511|8616|8747|9195|9455|9201|10602,743.45000000000005,8,1938,2613.4499999999998
244|923|235|940|240|4242|5288|5289|5554|5552|5657|5582|5568|5553|5581|5593|5569|6319|6320|6339|6340|5656|5642|5641|7006|7040|8151|8150|8383|10921|11594|10485|11595,923|235|940|4242|5288|5657|5582|5568|5553|5581|5593|6320|7006|7040|8151|8383|11594|10485,221.35000000000002,9,1512,2584.3499999999999
710|820|842|799|184|179|1017|176|4505|4504|4453|5604|6191|5591|6178|5596|6179|6190|5611|5597|7137|7136|8157|8160|8386|9610|10083|10084|10532,820|842|799|5591|10532,157.95000000000002,10,1107,2503.9499999999998
257|251|242|210|903|3668|237|2013|2016|1800|3669|3728|3732|3494|3731|3729|3571|3570|3572|3569|3495|3869|3856|3534|3486|6636|9737|9736|10739|10738,257|251|242|210|903|2013|2016|3728|3732|3494|3571|3572|3569|3495|6636,198.85000000000002,11,2075,2438.8499999999999
692|910|3259|3273|3272|3260|3271|3261|3262|3270|3514|3502|3693|3501|3683|3513|4018|4037|4038|4064|4065|4089|4090|4225|4226|4466|4657|4637|4638|7505|10361|10344,692|910|3259|3273|3272|3260|3271|3261|3262|3270|3514|3502|3693|3501|3683|3513|4018|4037|4038|4064|4089|4090|4225|4226|4466|4657|4637|7505|10361|10344,225.75,12,1128,2425.75
786|781|918|2843|2861|2842|3527|3517|3753|3518|3468|4318|3528|3526|3519|4636|8116,786|781|918|2842|3527|3517|3753|3518|3468|4318|3528|3526|4636|8116,168.90000000000001,13,2121,2343.9000000000001
828|8340|321|322|700|779|834|893|950|2517|6545|6546|11826|11846|11847|11827|11828|11850,828|779|6545|6546|11827|11828|11850,75.299999999999997,14,1859,2328.3000000000002
558|144|780|5873|5872|6097|5813|5791|6098|6099|6096|5812|5792|6095|6100|6487|6507|6510|7385|6583|6576|6584|6575|8108|8107|9708|9707|11683|11684,144|780|5872|6097|5813|5791|6098|6099|6096|5812|5792|6487|6507|6510|7385|6583|6576|6584|6575|8108|8107|9708|9707|11683|11684,140.0,15,40,2323.0
