f_pois,s_pois,reg_score,priority,office_id,score
82|787|6722|743|857|78|74|974|6723|7342|6698|6724|6711|6720|6721|6725|7368|8751|8748|9193|9194|9616|9189|9190|9191|9913|11064|11061|11060|11063,82|6722|857|78|7342|6724|6711|6721|6725|8751|8748|9616|11064|11061|11063,573.45000000000005,1,848,3011.4499999999998
31|508|837|943|4693|4874|4902|4717|4873|4901|4501|4876|4904|4869|4900|4830|4875|4738|4776|4956|4954|4502|4903|4743|4737|4694|4955|5254|8767|8667|8672|8673|9080|9552|10363|10643,31|837|943|4874|4902|4901|4876|4900|4830|4875|4738|4776|4956|4954|4502|4903|4743|4737|4694|4955|5254|8667|8672|8673|10363|10643,302.35000000000002,2,809,2855.3499999999999
8340|322|321|700|828|834|893|779|950|2517|6545|6546|6808|6809|11827|11846|11847|11826|11828|11850,322|321|700|828|779|950|6545|11827|11828|11850,94.600000000000009,3,654,2822.5999999999999
106|108|855|947|6036|8318|8312|8319|8311|8320|8486|8511|8316|8314|8315|8484|8481|8616|8744|8745|9195|9201|10602,108|855|8318|8312|8319|8311|8320|8486|8511|8315|8484|8481|8616|9201,1242.1500000000001,4,399,2744.1500000000001
472|465|481|761|935|3895|3892|3893|3894|6256|5769|6495|6255|6267|5763|5764|6266|7867|9488|9571|9487|9572|10749|11653,472|481|761|935|3895|3892|3893|3894|6256|5769|6495|6255|6267|5763|5764|7867|9572|10749|11653,190.10000000000002,5,715,2563.0999999999999
621|670|951|952|671|732|669|10182|10183|10184|10185|10186|10187|10188|10189|10158|10159|10180|10181,621|951|952|10182|10183|10184|10185|10186|10187|10180|10181,118.30000000000001,6,2379,2538.3000000000002
892|962|887|650|8465|8475|8453|8454|8455|8464|8446|10663|10662|10667|10666|10657|10658|10661|10664|10665|10660|10659,892|650|8465|8455|8464|10658|10661|10664|10665|10660|10659,831.75,7,778,2534.75
760|763|937|7752|7911|7793|7783|7802|7818|7753|7877|7909|7785|8058|8043|8039|8042|7791|7792|7817|7784|7969|7984|10537|10531|10527|11013,760|937|7911|7793|7783|7802|7818|7753|7877|7909|7785|8058|8043|8039|8042|7791|7792|7817|7784|10537|10531|10527|11013,147.40000000000001,8,705,2472.4000000000001
545|543|544|1081|687|1743|1687|2499|2496|2497|2498|7324|9877|11520|11620|11621,545|543|544|687|1687|2499|2496|2497|2498|11520|11620|11621,76.150000000000006,9,286,2371.1500000000001
112|113|811|976|7234|7229|7238|7228|7227|7315|7318|7326|10865|10867|10866|10870,112|113|811|7234|7229|7238|7228|7326|10865|10867|10866,331.65000000000003,10,451,2351.6500000000001
571|641|647|8132|8583|8527|8526|8582|8101|8103|8051|8050|8100|8049|8131|8695,571|8583|8527|8526|8582|8101|8103|8051|8050|8100|8049,1421.1500000000001,11,627,2339.1500000000001
466|468|470|421|450|1347|1617|1623|1348|1351|1615|1624|1344|1352|1616|3395|8331|8330|9282|9225|9226|11910,466|468|470|421|1347|1617|1618|1623|1348|1351|1624|1616|1346|3395|8330|9226,345.60000000000002,12,559,2158.5999999999999
975|6638|7243|7222|7241|7242|7244|7245|7260|7264|7265|7272|7273|7289|7306|7310|7312,975|6638|7243|7222|7241|7242|7244|7260|7265|7272|7306|7310,746.5,13,463,2061.5
32|25|4825|4818|5005|5006|5007|5010|5011|5012|5253|5255|5256,4825|5006|5007|5010|5011|5255|4915|8429,1586.9000000000001,14,329,2054.9000000000001
56|757|843|733|4186|4161|4185|4162|4184|4549|4566|4550|4552|4551|4548|4567|6371|5502|5501|6159|6171|8286|9831|11524,56|757|733|4186|4161|4185|4162|4184|4163|4549|4566|4550|4551|6159|8286|11524,92.900000000000006,15,367,2047.9000000000001
546|775|816|1803|2563|3171|3866|3860|3859|9157|10684|11563,546|775|816|1803|3171|3859|10684,106.35000000000001,16,491,2006.3499999999999
801|797|1254|1120|1231|1396|1232|1149|1382|1790|1938|2123|2186|2294|2293|2271|8424|8425,801|797|1254|1120|1231|1938|2186|1156|2179|2185|2294|2293|2271|9912,264.65000000000003,17,1608,1964.6500000000001
396|616|1633|618|933|1650|1483|1826|2040|1648|1634|1649|1464|2465|2429|2460|8356|10043|10621,616|1633|618|933|623|2040|1648|1649|2460|8356|10043|10621,212.55000000000001,18,811,1952.55
274|279|735|269|256|297|690|852|6332|6304|6231|6409|6405|6408|6406|6407|6305|9165,269|256|297|690|6332|6304,82.5,19,374,1918.5
928|917|1753|1776|1752|1859|1899|1896|1903|10000|9104|11426|11425|11816|11817,566|928|917|1752|1859|1899|1896|1903|10000|9104|11426|11425|11816|11817,185.75,20,258,1900.75
