f_pois,s_pois,reg_score,priority,office_id,score
508|837|943|31|4693|4717|4501|4904|4869|4900|4830|4695|4761|4716|4875|4738|4776|4956|4954|4502|4903|4743|4694|5254|4874|4902|4873|4901|4876|4737|4955|4692|6364|6372|7050|8673|8672|8667|8767|9080|9552|10352|10363|10643,508|837|943|4693|4717|4501|4904|4869|4900|4830|4875|4738|4776|4956|4954|4502|4903|4743|4694|5254|4874|8673|8672|8667|10363|10643,632.20000000000005,1,2060,3635.1999999999998
4267|3805|3785|3806|3784|3807|3783|4247|4260|4261|4266|6756|6754|6755|9585|9586|11796|11798|11799,4247|4260|4266|9585|9586|11798|11799,2934.2000000000003,2,1271,3489.2000000000003
855|947|8311|8320|8486|8511|8483|8315|8480|8484|8481|8616|8746|8747|8615|8758|8319|8612|8757|9195|9455|9456|9201|10602,855|947|8320|8486|8511|8483|8315|8480|8484|8481|8616|8747|9195|9455|9201|10602,1486.9000000000001,3,1938,3356.9000000000001
82|78|84|787|6722|74|743|857|926|86|974|6700|6697|7343|6699|6723|7342|6698|6724|6721|6725|8748|8750|8751|9616|9189|11063|11064|11061,78|787|6722|743|857|926|6699|6723|7342|6698|6724|6721|6725|11063|11064|11061,270.19999999999999,4,2267,3333.1999999999998
784|879|907|924|753|1861|1866|1875|1185|1273|1772|1756|1199|2296|2344|8128|9391|9390|10048|10133|10132,784|879|907|924|1861|1866|1875|2296|2344|8128|9391|9390|10048|10133|10132,221.30000000000001,5,2086,3216.3000000000002
7246|117|7245|7244|7259|7260|7289|7312|7243|7242|6638|7222|7264|7265|7272|7310,7245|7244|7260|7289|7312|7243|7265|7272|7310,2631.9000000000001,6,1828,3164.9000000000001
650|962|887|892|651|1255|8475|8474|8473|8465|8464|7788|8466|8489|8467|10692|10663|10667|10666|10662|10657|10658|10661|10664|10665|10660|10659,650|962|887|892|1255|8465|8467|10663|10667|10666|10662|10657|10658|10661|10664|10665|10660|10659,414.30000000000001,7,2030,3030.3000000000002
973|975|7213|7236|7237|7218|7185|7277|7247|7184|7221|7223|7232|7241|7271|7299|7300|7302|7306|7309|7235|7227|7248|7214|7771|9764|9763,973|975|7213|7236|7237|7218|7185|7277|7247|7221|7223|7232|7241|7271|7299|7300|7302|7306|7309|7235|7227|7771,533.10000000000002,8,2085,2973.0999999999999
613|723|933|396|616|618|746|1633|623|1923|1933|2050|1647|1635|1648|1464|1483|1826|1634|2039|2040|1649|2459|2461|2429|2460|8356|8397|10043|10621,613|933|396|616|618|1633|1933|2050|1647|1648|1634|2459|2461|8356|8397|10043|10621,522.39999999999998,9,2161,2970.4000000000001
,3806|3784,2893.4000000000001,10,1500,2943.4000000000001
